date,facility_id,facility_name,facility_type,packaging_type,total_produced,total_returned,total_reused,total_recycled,total_waste,co2_saved,cost_savings,latitude,longitude
2024-09-07,BR001,Brussels Brewery,Brewery,Glass Bottles,884,795,545,250,89,397.5,119.25,50.8503,4.3517
2024-09-07,BR001,Brussels Brewery,Brewery,Aluminum Cans,356,290,131,159,66,232.0,34.8,50.8503,4.3517
2024-09-07,BR001,Brussels Brewery,Brewery,Plastic Bottles,269,155,42,113,114,46.5,12.4,50.8503,4.3517
2024-09-07,BR001,Brussels Brewery,Brewery,Cardboard Cartons,519,289,108,181,230,57.8,14.45,50.8503,4.3517
2024-09-07,BR001,Brussels Brewery,Brewery,Wooden Crates,489,441,376,65,48,44.1,110.25,50.8503,4.3517
2024-09-07,BR002,Leuven Brewery,Brewery,Glass Bottles,468,376,245,131,92,188.0,56.4,50.8798,4.7005
2024-09-07,BR002,Leuven Brewery,Brewery,Aluminum Cans,383,296,32,264,87,236.8,35.52,50.8798,4.7005
2024-09-07,BR002,Leuven Brewery,Brewery,Plastic Bottles,346,147,35,112,199,44.1,11.76,50.8798,4.7005
2024-09-07,BR002,Leuven Brewery,Brewery,Cardboard Cartons,921,275,91,184,646,55.0,13.75,50.8798,4.7005
2024-09-07,BR002,Leuven Brewery,Brewery,Wooden Crates,790,678,446,232,112,67.8,169.5,50.8798,4.7005
2024-09-07,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,576,564,382,182,12,282.0,84.6,51.2194,4.4025
2024-09-07,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1080,817,128,689,263,653.6,98.04,51.2194,4.4025
2024-09-07,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,911,497,154,343,414,149.1,39.76,51.2194,4.4025
2024-09-07,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,520,148,49,99,372,29.6,7.4,51.2194,4.4025
2024-09-07,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,518,460,354,106,58,46.0,115.0,51.2194,4.4025
2024-09-07,DC002,Ghent Distribution,Distribution Center,Glass Bottles,582,459,406,53,123,229.5,68.85,51.05,3.7303
2024-09-07,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,707,529,102,427,178,423.2,63.48,51.05,3.7303
2024-09-07,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,721,491,87,404,230,147.3,39.28,51.05,3.7303
2024-09-07,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,994,418,43,375,576,83.6,20.9,51.05,3.7303
